Model,F1,AUC,F1_rank,AUC_rank,Avg_rank,Harmonic_F1_AUC
Random Forest,0.559,0.499,2.0,8.0,5.0,0.5272986767485823
"XGBoost (all features, 3d)",0.509,0.534,4.0,4.0,4.0,0.5212003835091082
Logistic Regression,0.568,0.464,1.0,12.0,6.5,0.5107596899224807
MLP (baseline),0.544,0.466,3.0,11.0,7.0,0.5019881188118812
"XGBoost (all features, 5d)",0.45,0.531,6.0,5.0,5.5,0.4871559633027523
MLP (enriched),0.492,0.48,5.0,9.0,7.0,0.4859259259259259
XGBoost (enriched),0.408,0.566,8.0,2.0,5.0,0.47418480492813136
LSTM (All Features),0.404,0.54,9.0,3.0,6.0,0.4622033898305085
LSTM + Sentiment,0.382,0.583,10.0,1.0,5.5,0.46156683937823834
LSTM (SHAP),0.415,0.516,7.0,7.0,7.0,0.46002148227712136
XGBoost + Sentiment,0.361,0.525,11.0,6.0,8.5,0.4278216704288939
LSTM + Sentiment + Attention,0.36,0.478,12.0,10.0,11.0,0.41069212410501194
